Job Type,alt
Company/factory employee,พนักงานบริษัท/โรงงาน
Company employee,พนักงานบริษัท
Not specified,ไม่ระบุ
General Contractor,รับจ้างทั่วไป / ฟรีแลนซ์
Trading,ค้าขาย/ธุรกิจส่วนตัว
Student,นักเรียน/นักศึกษา
Unemployed,ว่างงาน
Other,อื่นๆ
Gov,ข้าราชการ/พนักงานของรัฐ / รัฐวิสาหกิจ
Housekeeper,พ่อบ้าน/แม่บ้าน/ดูแลบ้าน
Entertainment workers,พนักงานในสถานบันเทิง
Medical Personal,HCW (บุคลากรทางการแพทย์)
Medical Personal,พยาบาล
Medical Personal,HCW
Children/Parents,เด็กเล็ก/ในปกครอง
Farmer,เกษตรกร (ปลูกพืช)
Farmer,เกษตรกร
Restaurant staff,พนักงานร้านอาหาร
Hire,รับจ้าง
Massage therapist,พนักงานนวด/สปา
Student,นักเรียน
Driver,พนักงานขับรถโดยสาร/รถตู้/แท๊กซี่
Hotel Staff,พนักงานโรงแรม
Tourist,นักท่องเที่ยว
Student,นักศึกษา
